geneSymbol,No Dox,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
RP11-798G7.6,2.739491367,1.9234487,2.162101933,2.098258,1.685204833,1.8956583,1.235164833,1.711255667
RP11-861E21.2,0.960622333,1.077651333,1.503256667,1.456333,0.8430502,0.760098667,0.543772533,0.448021
hsa-mir-132,0,0,0,0,0,0,0,0
AC005624.2,0.358775667,0.1509188,0.409651667,0.696495,0.209595,0.672695667,0.438807,0.556126667
RP11-797E24.3,0,0,0,0,0,0,0,0
SNRPGP4,0,0,0,0,0,0,0,0
AC011518.1,0,0,0,0,0,0,0,0
AC005954.4,0,0,0,0,0.019091067,0,0.0209599,0
LCN6,0,0,0,0,0,0,0,0
RP11-264B14.1,0.020406667,0,0,0,0,0,0,0
RP11-693L9.2,0,0,0,0,0.048455,0,0,0
CTD-2588C8.6,0,0,0,0,0,0,0,0
RP5-1067M6.3,0,0,0,0,0,0,0,0
CTD-2659N19.9,0,0,0.0639833,0.071160667,0,0.070830667,0,0
AC007773.2,0.444088,0.536046333,0.328885667,0.269415667,0.316837667,0.342738667,0.460393,0.289301
CTC-265F19.3,0,0,0.0227992,0,0,0.026220333,0,0
RP11-685A21.1,0,0,0.012913067,0,0,0,0,0
AC010642.1,1.630376667,2.125726667,1.313026667,1.81331,1.775606667,1.397516667,1.456246667,2.03127
RP11-88I18.4,0,0,0,0,0,0,0,0
AC005336.5,0.983920333,0.995927333,1.14537,0.689945667,0.984063,1.153576667,1.265344,0.991121667
AC010504.2,0.316583667,0.272487667,0.597160333,0.377669,0.471254667,0.250232167,0.482478333,0.402208667
CTC-260E6.9,0,0,1.7783E-07,0,3.96323E-40,0,0,0
CTD-2132N18.2,1.30829,0.979409,1.891616667,1.696923333,2.53682,1.196328667,1.695496667,1.693676667
RP11-194N12.2,0.011443133,0,0,0.014574667,0.024545633,0.0144974,0.030616367,0
AC005597.1,0,0,0,0,0,0,0,0
AC005498.4,0.0178125,0,0,0,0.050068,0,0.020634967,0.1166331
WDR7-UA1,0.06485,0.146228667,0.207411667,0.401366,0.221967333,0.387568333,0.543580333,0.166255
RP11-126O1.5,0.772808667,1.322373333,0.668358333,0.382357667,0.109977733,0.409065333,0.260100667,0.140637433
RP11-640I15.2,0,0,0,0,0,0,0,0
IER3IP1,3.95019E-39,1.07451E-20,8.5945E-22,2.09456E-13,1.33352E-16,1.02394E-13,9.46588E-21,0.092912
RP11-376M2.2,0,0.010765933,0,0.010142267,0,0,0.004155367,0.0096181
AC005786.5,0.063247933,0,0.033558667,0,0,0,0.040200333,0.033910333
CTB-31O20.9,0,0,0,0,0,0,0,0
RP11-54A1.2,0,0,0,0,0,0,0,0
CTB-184G21.1,0,0,0,0,0,0,0,0
ZNF861P,0,0,0,0,0,0,0,0
RP11-618P17.3,0.950240333,1.178819,0.536585667,0.506315667,0.760528667,0.254668333,0.332686667,0.985201667
AC092299.6,0.0197026,0.042517533,0.007118033,0.025282233,0.030990567,0.0249838,0.022542567,0.046418933
AC093074.1,0,0,0,0,0,0,0,0
RP11-794M8.1,0,0,0,0,0,0,0,0
AC011524.3,0,0,0,0,0,0,0,0
CYP4F10P,0,0,0,0,0,0,0,0
AC069278.4,0.861340667,0.991187333,0.823850667,1.030823,0.766158,1.635483333,1.35088,1.022687
AC005307.3,0,0,0,0.002489847,0,0,0,0
CTB-31O20.4,0,0.007494144,0.028792615,0.029974257,0.031988577,0.004790605,0.038410267,0.004146133
CTD-2085J24.5,0,0,0,0,0,0,0,0
RP11-798G7.7,0.154977333,0.1386397,0.198286333,0.160061333,0.264203333,0.111587533,0.142318067,0.235332
RP11-64C12.6,0.111244533,0.083266133,0.043216367,0.069253133,0.0405636,0.023559267,0.071013033,0.041791
CTD-2319I12.4,2.095235,2.603632667,2.849576333,2.614176,2.973399,1.842387667,1.843997667,2.675085333
RP11-973H7.3,0.657445,0.726691667,0.452380667,0.731752667,0.565467,1.009497667,0.738703,0.779645
RP11-118B18.2,0,0,0,0.045324667,0,0.062674167,0,0
AC139100.3,0.154738667,0.184323,0.184106333,0.238643333,0.194879667,0.287968,0.279576667,0.293405
RP11-712C7.1,0,0,0,0,0,0,0,0
RP11-209M4.1,0,0.003767267,0.0092569,0.0035844,0.013408193,0.0108517,0.0038778,0.003236957
CTD-2162K18.5,10.05922267,8.796423333,9.819446667,10.05945333,10.21975,8.819460667,10.27317,9.967836667
CTB-50L17.5,0,0,0,0,0,0,0,0
RP11-1151B14.4,0.002120257,0,0,0.006405127,0.002215643,0.01800314,0.00246224,0.01090991
