ENSEMBL_id	KD0d_A	KD0d_B	KD0d_C	KD1d_A	KD1d_B	KD1d_C	KD3d_A	KD3d_B	KD3d_C	WT0d_A	WT0d_B	WT0d_C	WT1d_A	WT1d_B	WT1d_C	WT3d_A	WT3d_B	WT3d_C
ENSG00000111241.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111245.14	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	2	0	2
ENSG00000111247.14	390	273	296	91	102	157	102	117	80	53	64	80	112	167	157	55	41	42
ENSG00000111249.13	82	54	43	63	77	96	75	116	90	23	16	14	321	349	316	277	303	318
ENSG00000111252.10	312	229	233	53	66	82	53	52	31	74	66	77	202	259	252	101	90	95
ENSG00000111254.7	11	11	8	1	3	1	9	8	12	11	3	11	17	10	22	4	9	3
ENSG00000111261.13	180	101	96	7	12	20	36	28	20	40	59	31	46	57	46	54	51	43
ENSG00000111262.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111266.8	428	314	326	144	144	197	270	253	180	98	120	115	452	466	545	155	154	126
ENSG00000111269.2	691	476	462	116	101	162	522	484	368	167	181	157	496	563	508	248	227	218
ENSG00000111271.14	284	272	220	68	83	101	137	128	117	101	139	140	209	315	221	216	233	217
ENSG00000111275.12	657	534	538	189	190	296	303	373	260	682	754	763	822	888	841	377	339	336
ENSG00000111276.10	1702	1417	1328	307	321	502	750	988	727	336	349	457	685	818	687	413	328	324
ENSG00000111291.8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000111300.9	1402	952	982	82	97	127	517	406	332	102	147	131	359	402	318	321	285	233
ENSG00000111305.18	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111319.12	6459	5145	4687	1000	1139	1461	554	510	385	2253	2462	2043	1790	2191	2005	837	860	823
ENSG00000111321.10	1666	1303	1102	543	704	920	658	654	511	1103	1203	1052	1182	1330	1185	1141	1147	1019
ENSG00000111325.16	111	78	69	53	56	59	47	65	43	148	136	152	128	117	151	109	82	94
ENSG00000111328.6	409	258	261	111	128	208	323	295	196	197	202	175	509	506	485	294	265	282
ENSG00000111331.12	1475	1189	1137	221	265	341	162	131	115	215	268	193	206	211	235	208	179	203
ENSG00000111335.12	200	134	155	36	39	29	31	27	34	5	5	8	5	8	3	14	14	15
ENSG00000111339.10	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000111341.9	0	0	3	0	0	0	1	0	0	0	0	1	2	0	2	1	1	1
ENSG00000111344.11	2	2	2	1	0	1	1	0	3	8	0	1	2	6	9	9	8	11
ENSG00000111348.8	132	109	76	53	67	91	106	100	91	75	97	65	79	130	106	45	52	44
ENSG00000111358.13	671	491	544	73	89	130	198	231	169	80	126	118	307	358	383	151	90	88
ENSG00000111361.12	725	514	507	169	193	237	512	512	410	233	293	291	530	609	639	357	310	310
ENSG00000111364.15	464	326	298	46	46	50	118	105	94	103	116	109	243	236	233	131	109	104
ENSG00000111371.15	14426	10752	10214	1138	1252	1921	5151	4542	3608	1628	1897	1829	8524	9975	9054	4563	3912	3896
ENSG00000111404.6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111405.8	1	3	0	0	0	0	0	1	0	1	1	1	0	0	5	0	4	0
ENSG00000111412.5	916	669	635	211	258	362	409	414	296	246	256	287	784	886	896	392	386	389
ENSG00000111424.10	696	602	523	215	250	298	184	182	141	326	356	329	896	1001	914	780	705	631
ENSG00000111432.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111445.13	530	337	393	73	112	165	332	306	217	143	181	186	176	227	230	124	136	97
ENSG00000111450.13	88	54	54	42	55	63	146	180	106	11	13	21	176	199	204	155	128	133
ENSG00000111452.12	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000111481.9	1684	1328	1293	788	915	1239	2450	2563	1994	936	1128	1132	1399	1597	1461	1439	1306	1316
ENSG00000111490.12	142	95	93	6	7	5	11	13	9	35	37	44	22	19	22	19	5	4
ENSG00000111530.12	3713	2823	2773	336	338	510	1191	1137	879	377	414	398	1959	2408	2111	980	891	893
ENSG00000111536.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111537.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111540.15	1654	1264	1244	755	710	1041	2026	1853	1518	759	950	764	1601	1900	1729	1643	1667	1547
ENSG00000111554.14	241	156	151	16	29	34	124	91	81	14	13	25	78	131	92	57	39	44
ENSG00000111581.9	1034	744	746	158	200	238	808	681	491	100	129	162	459	543	441	351	267	260
ENSG00000111596.11	1799	1250	1235	243	254	387	1531	1310	1063	259	242	222	1127	1393	1322	860	721	646
ENSG00000111602.11	756	620	547	159	219	314	269	284	237	389	520	435	403	480	509	233	191	176
ENSG00000111605.16	1505	1012	970	228	238	311	700	572	478	395	414	389	1100	1244	1102	918	756	727
ENSG00000111615.12	1768	1189	1229	274	277	438	1025	809	616	223	223	230	632	741	692	584	568	595
ENSG00000111639.7	839	542	586	223	210	301	1066	911	704	357	392	369	941	1050	967	594	599	511
ENSG00000111640.14	39102	31031	28062	32281	36105	48730	33817	32360	26090	47369	57084	49111	33337	39161	35865	32691	30661	27793
ENSG00000111641.10	602	473	473	186	178	248	274	284	223	445	561	497	385	492	415	382	380	326
ENSG00000111642.14	4790	3664	3575	726	733	1065	1878	1768	1534	1330	1423	1488	3514	3972	3589	2396	2146	2075
ENSG00000111644.7	9	8	7	1	1	1	2	1	0	0	3	1	20	11	20	7	3	4
ENSG00000111647.12	652	414	493	61	76	108	253	274	206	60	59	74	323	369	309	194	166	157
ENSG00000111652.9	774	739	629	495	552	824	851	792	676	705	821	728	597	774	556	611	584	507
ENSG00000111653.19	166	101	114	55	60	94	266	273	199	104	105	116	312	355	326	273	261	262
ENSG00000111664.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
ENSG00000111665.11	287	218	230	82	83	95	22	39	25	272	332	296	231	245	229	41	29	54
ENSG00000111666.10	183	129	126	19	34	24	65	52	42	35	54	47	55	54	45	21	41	37
ENSG00000111667.13	1506	1266	1157	1178	1329	1886	1627	1629	1391	1222	1358	1329	1110	1248	1116	1220	1047	946
ENSG00000111669.14	5886	4832	4472	5429	6737	8502	10702	10304	8311	6431	7405	7440	4841	5988	5515	7057	6311	5314
ENSG00000111670.14	929	638	552	83	98	183	451	416	315	58	88	91	562	635	651	377	336	314
ENSG00000111671.9	55	58	36	56	67	106	58	82	49	125	160	145	165	191	164	143	118	114
ENSG00000111674.8	17	20	18	1	6	6	18	14	20	6	1	7	7	11	11	23	18	19
ENSG00000111676.14	223	158	123	62	55	74	58	35	41	95	74	85	156	197	149	223	230	191
ENSG00000111678.10	383	304	254	299	383	420	477	614	494	573	605	630	554	641	579	551	475	445
ENSG00000111679.16	406	303	297	128	179	198	221	231	204	245	277	263	288	322	304	230	177	199
ENSG00000111684.10	324	259	235	100	117	192	150	155	104	182	189	191	156	156	186	134	117	136
ENSG00000111696.11	322	259	244	27	25	45	50	31	24	19	40	35	117	160	118	57	66	43
ENSG00000111700.12	66	43	42	10	7	8	13	18	11	21	24	20	29	21	39	15	4	13
ENSG00000111701.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000111704.10	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000111707.11	1180	928	887	160	184	236	734	663	516	189	215	217	728	802	795	340	356	329
ENSG00000111711.9	974	689	739	215	224	331	699	697	568	112	140	190	832	952	822	605	402	495
ENSG00000111713.2	3	3	2	0	0	2	6	0	2	0	2	0	8	1	0	4	0	1
ENSG00000111716.12	5446	4312	4277	1437	1556	2208	4000	3875	3057	1087	1169	1415	2115	2440	2295	1331	1066	1027
ENSG00000111725.10	381	320	252	175	176	283	252	261	207	227	232	214	258	282	281	281	230	206
ENSG00000111726.12	599	469	504	84	124	166	381	361	299	79	118	102	323	358	318	202	122	145
ENSG00000111727.11	648	473	431	80	85	120	497	458	347	42	72	56	326	375	332	267	223	204
