TCGAlong.id	cancer.type	sample.type	mRNAsi	EREG-mRNAsi
TCGA-16-0846-01A-01R-1850-01	GBM	1	0.33621867	0.489087243
TCGA-16-1045-01B-01R-1850-01	GBM	1	0.209552318	0.48127674
TCGA-18-3406-01A-01R-0980-07	LUSC	1	0.363125057	0.746069595
TCGA-18-3407-01A-01R-0980-07	LUSC	1	0.34171359	0.770271606
TCGA-18-3408-01A-01R-0980-07	LUSC	1	0.410138053	0.744901642
TCGA-18-3410-01A-01R-0980-07	LUSC	1	0.482460049	0.505982089
TCGA-18-3411-01A-01R-0980-07	LUSC	1	0.474658173	0.857679283
TCGA-18-3412-01A-01R-0980-07	LUSC	1	0.494166585	0.985385744
TCGA-18-3414-01A-01R-0980-07	LUSC	1	0.35818984	0.769643051
TCGA-18-3415-01A-01R-0980-07	LUSC	1	0.390909249	0.875801979
TCGA-18-3416-01A-01R-0980-07	LUSC	1	0.532918322	0.820861801
TCGA-18-3417-01A-01R-1443-07	LUSC	1	0.317357003	0.691289949
TCGA-18-3419-01A-01R-0980-07	LUSC	1	0.495928046	0.611950494
TCGA-18-3421-01A-01R-0980-07	LUSC	1	0.505630722	0.741742455
TCGA-18-4083-01A-01R-1100-07	LUSC	1	0.494433629	0.699925424
TCGA-18-4086-01A-01R-1100-07	LUSC	1	0.413123333	0.913675513
TCGA-18-4721-01A-01R-1443-07	LUSC	1	0.452389151	0.712751396
TCGA-18-5592-01A-01R-1635-07	LUSC	1	0.462488467	0.864444331
TCGA-19-0957-02A-11R-2005-01	GBM	2	0.291042824	0.499133126
TCGA-19-1389-02A-21R-2005-01	GBM	2	0.204872264	0.552319745
TCGA-19-1390-01A-01R-1850-01	GBM	1	0.38685678	0.587302738
TCGA-19-1787-01B-01R-1850-01	GBM	1	0.380780398	0.476298361
TCGA-19-2619-01A-01R-1850-01	GBM	1	0.274959737	0.512734587
TCGA-19-2620-01A-01R-1850-01	GBM	1	0.212531263	0.404425784
TCGA-19-2624-01A-01R-1850-01	GBM	1	0.360016145	0.521463152
TCGA-19-2625-01A-01R-1850-01	GBM	1	0.248771615	0.366468763
TCGA-19-2629-01A-01R-1850-01	GBM	1	0.347699989	0.481128919
TCGA-19-4065-01A-01R-2005-01	GBM	1	0.252872843	0.655104875
TCGA-19-4065-02A-11R-2005-01	GBM	2	0.234885087	0.476302541
TCGA-19-5960-01A-11R-1850-01	GBM	1	0.413503888	0.527641186
TCGA-20-1682-01A-01R-1564-13	OV	1	0.401197434	0.471185783
TCGA-20-1683-01A-01R-1566-13	OV	1	0.400753388	0.428379999
TCGA-20-1684-01A-01R-1566-13	OV	1	0.510590169	0.704820959
TCGA-20-1685-01A-01R-1566-13	OV	1	0.536347347	0.551057759
TCGA-20-1687-01A-01R-1566-13	OV	1	0.37602936	0.530872722
TCGA-21-1071-01A-01R-0692-07	LUSC	1	0.411395099	0.733374226
TCGA-21-1072-01A-01R-0692-07	LUSC	1	0.458199339	0.840666019
TCGA-21-1075-01A-01R-0692-07	LUSC	1	0.516056923	0.70619179
TCGA-21-1076-01A-01R-0692-07	LUSC	1	0.312321536	0.724017243
TCGA-21-1076-01A-02R-0692-07	LUSC	1	0.3318112	0.760901771
TCGA-21-1079-01A-01R-0692-07	LUSC	1	0.299624184	0.693655281
TCGA-21-1080-01A-01R-0692-07	LUSC	1	0.487924558	0.615977855
TCGA-21-1081-01A-01R-0692-07	LUSC	1	0.436402468	0.702409365
TCGA-21-1082-01A-01R-0692-07	LUSC	1	0.397065368	0.855883174
TCGA-21-5782-01A-01R-1635-07	LUSC	1	0.352997159	0.542323608
TCGA-21-5783-01A-41R-2187-07	LUSC	1	0.360760747	0.571411608
TCGA-21-5784-01A-01R-1635-07	LUSC	1	0.292966689	0.627296804
TCGA-21-5786-01A-01R-1635-07	LUSC	1	0.396021865	0.660181293
TCGA-21-5787-01A-01R-1635-07	LUSC	1	0.470876518	0.595503427
TCGA-22-0940-01A-01R-0692-07	LUSC	1	0.396560746	0.529232838
TCGA-22-0944-01A-01R-0692-07	LUSC	1	0.501684903	0.783799914
TCGA-22-1000-01A-01R-A32Z-07	LUSC	1	0.164430971	0.687698645
TCGA-22-1002-01A-01R-0692-07	LUSC	1	0.303234848	0.636645211
TCGA-22-1005-01A-01R-0692-07	LUSC	1	0.257550101	0.449581719
TCGA-22-1011-01A-01R-0692-07	LUSC	1	0.362921812	0.458461378
TCGA-22-1012-01A-01R-0692-07	LUSC	1	0.52170671	0.786439168
TCGA-22-1016-01A-01R-0692-07	LUSC	1	0.252319617	0.571532187
TCGA-22-1017-01A-01R-0692-07	LUSC	1	0.424261342	0.627264113
TCGA-22-4591-01A-01R-1201-07	LUSC	1	0.466277687	0.862780331
TCGA-22-4593-01A-21R-1820-07	LUSC	1	0.38148768	0.62763559
TCGA-22-4593-11A-01R-1820-07	LUSC	11	0.216541386	0.705989637
TCGA-22-4594-01A-01R-1201-07	LUSC	1	0.379726943	0.620269311
TCGA-22-4595-01A-01R-1201-07	LUSC	1	0.388749744	0.633376358
TCGA-22-4596-01A-01R-1201-07	LUSC	1	0.229027415	0.472608623
TCGA-22-4599-01A-01R-1443-07	LUSC	1	0.483767895	0.753485286
TCGA-22-4601-01A-01R-1443-07	LUSC	1	0.404203938	0.723218724
TCGA-22-4604-01A-01R-1201-07	LUSC	1	0.390651755	0.735351732
TCGA-22-4605-01A-21R-2125-07	LUSC	1	0.276517516	0.865178851
TCGA-22-4607-01A-01R-1201-07	LUSC	1	0.417375415	0.819251069
TCGA-22-4609-01A-21R-2125-07	LUSC	1	0.297891004	0.719844279
TCGA-22-4609-11A-01R-2125-07	LUSC	11	0.173913339	0.517850117
TCGA-22-4613-01A-01R-1443-07	LUSC	1	0.518897841	0.863744457
TCGA-22-5471-01A-01R-1635-07	LUSC	1	0.487182298	0.683067378
TCGA-22-5471-11A-01R-1635-07	LUSC	11	0.170083923	0.545401186
TCGA-22-5472-01A-01R-1635-07	LUSC	1	0.315794956	0.67829241
TCGA-22-5472-11A-11R-1635-07	LUSC	11	0.169428775	0.586411719
TCGA-22-5473-01A-01R-1635-07	LUSC	1	0.425101733	0.669561372
TCGA-22-5474-01A-01R-1635-07	LUSC	1	0.43366156	0.868820875
TCGA-22-5477-01A-01R-1635-07	LUSC	1	0.480088356	0.684755498
TCGA-22-5478-01A-01R-1635-07	LUSC	1	0.30620578	0.648784278
TCGA-22-5478-11A-11R-1635-07	LUSC	11	0.194618813	0.43863965
TCGA-22-5479-01A-31R-1949-07	LUSC	1	0.455937698	0.704435104
TCGA-22-5480-01A-01R-1635-07	LUSC	1	0.412988062	0.493019703
TCGA-22-5481-01A-31R-1949-07	LUSC	1	0.617255885	0.654054741
TCGA-22-5481-11A-01R-1949-07	LUSC	11	0.178431224	0.496941601
TCGA-22-5482-01A-01R-1635-07	LUSC	1	0.359485052	0.81153397
TCGA-22-5482-11A-01R-1635-07	LUSC	11	0.103366812	0.556084575
TCGA-22-5483-01A-01R-1820-07	LUSC	1	0.444042448	0.750507774
TCGA-22-5483-11A-11R-1820-07	LUSC	11	0.222227575	0.654370423
TCGA-22-5485-01A-01R-1635-07	LUSC	1	0.471892418	0.829558814
TCGA-22-5489-01A-01R-1635-07	LUSC	1	0.373334303	0.759901754
TCGA-22-5489-11A-01R-1635-07	LUSC	11	0.169197998	0.546017529
TCGA-22-5491-01A-01R-1635-07	LUSC	1	0.552848264	0.965164066
TCGA-22-5491-11A-01R-1858-07	LUSC	11	0.150674875	0.587304009
TCGA-22-5492-01A-01R-1635-07	LUSC	1	0.342271909	0.616990724
TCGA-22-A5C4-01A-12R-A27Q-07	LUSC	1	0.414989078	0.646749788
TCGA-23-1023-01A-02R-1564-13	OV	1	0.347487298	0.581805576
TCGA-23-1023-01R-01R-1564-13	NA	1	0.337170091	0.619257622
TCGA-23-1026-01B-01R-1569-13	OV	1	0.3948188	0.573895549
TCGA-23-1027-01A-02R-1564-13	OV	1	0.432115534	0.62733646
TCGA-23-1029-01B-01R-1567-13	OV	1	0.454411215	0.628686953
TCGA-23-1109-01A-01R-1564-13	OV	1	0.375181861	0.285493086
TCGA-23-1111-01A-01R-1567-13	OV	1	0.368727057	0.363725178
TCGA-23-1114-01B-01R-1566-13	OV	1	0.310231921	0.538565705
TCGA-23-1120-01A-02R-1565-13	OV	1	0.420862705	0.523927332
TCGA-23-1122-01A-01R-1565-13	OV	1	0.419303827	0.634354197
TCGA-23-1123-01A-01R-1565-13	OV	1	0.492943846	0.391796126
TCGA-23-1809-01A-01R-1566-13	OV	1	0.440251637	0.459224279
TCGA-23-2077-01A-01R-1568-13	OV	1	0.393422783	0.512231104
TCGA-23-2078-01A-01R-1568-13	NA	1	0.342568472	0.617690087
TCGA-23-2081-01A-01R-1568-13	OV	1	0.359156557	0.490044444
TCGA-23-2084-01A-02R-1568-13	OV	1	0.49958607	0.564032132
TCGA-24-0975-01A-02R-1565-13	OV	1	0.324507073	0.840448976
TCGA-24-1103-01A-01R-1565-13	OV	1	0.51210753	0.646219237
TCGA-24-1413-01A-01R-1565-13	OV	1	0.413054156	0.396571081
TCGA-24-1416-01A-01R-1565-13	OV	1	0.440889844	0.516789016
TCGA-24-1417-01A-01R-1565-13	OV	1	0.424011023	0.378050043
TCGA-24-1418-01A-01R-1565-13	OV	1	0.37345216	0.533646054
TCGA-24-1419-01A-01R-1565-13	OV	1	0.433857475	0.453557035
TCGA-24-1423-01A-01R-1565-13	OV	1	0.363531339	0.552432367
TCGA-24-1424-01A-01R-1565-13	OV	1	0.384884465	0.459465439
TCGA-24-1425-01A-02R-1566-13	NA	1	0.284983234	0.537094633
TCGA-24-1427-01A-01R-1565-13	OV	1	0.306784867	0.632690198
TCGA-24-1428-01A-01R-1564-13	OV	1	0.500616846	0.463058713
TCGA-24-1430-01A-01R-1566-13	OV	1	0.388928746	0.571580419
TCGA-24-1434-01A-01R-1566-13	NA	1	0.252440876	0.461563525
TCGA-24-1435-01A-01R-1566-13	NA	1	0.358730226	0.372816885
TCGA-24-1436-01A-01R-1566-13	OV	1	0.428003074	0.510542989
TCGA-24-1463-01A-01R-1566-13	NA	1	0.337833091	0.64756973
TCGA-24-1467-01A-01R-1566-13	OV	1	0.434236472	0.554482222
TCGA-24-1469-01A-01R-1566-13	OV	1	0.508510849	0.586411719
TCGA-24-1474-01A-01R-1566-13	OV	1	0.558504036	0.476563636
TCGA-24-1544-01A-01R-1566-13	OV	1	0.41293355	0.669249955
TCGA-24-1545-01A-01R-1566-13	NA	1	0.3163977	0.450373731
TCGA-24-1546-01A-01R-1566-13	NA	1	0.267795317	0.516113769
TCGA-24-1548-01A-01R-1566-13	OV	1	0.574124527	0.551057759
TCGA-24-1549-01A-01R-1566-13	OV	1	0.45154715	0.457632628
TCGA-24-1550-01A-01R-1566-13	OV	1	0.266602013	0.72806872
TCGA-24-1551-01A-01R-1566-13	OV	1	0.495647611	0.625696577
TCGA-24-1552-01A-01R-1566-13	OV	1	0.43516097	0.402190094
TCGA-24-1553-01A-01R-1566-13	OV	1	0.355634752	0.465156799
TCGA-24-1555-01A-01R-1566-13	OV	1	0.545626576	0.506491511
TCGA-24-1556-01A-01R-1566-13	OV	1	0.502442669	0.538638052
TCGA-24-1557-01A-01R-1566-13	OV	1	0.458201868	0.668164738
TCGA-24-1558-01A-01R-1566-13	OV	1	0.511948216	0.507239105
TCGA-24-1560-01A-01R-1566-13	OV	1	0.470896123	0.431876809
TCGA-24-1562-01A-01R-1566-13	OV	1	0.388233625	0.469642363
TCGA-24-1563-01A-01R-1566-13	OV	1	0.317358025	0.544715268
TCGA-24-1564-01A-01R-1566-13	OV	1	0.285419267	0.477480042
TCGA-24-1567-01A-01R-1566-13	OV	1	0.497386317	0.818816982
TCGA-24-1603-01A-01R-1566-13	OV	1	0.47866735	0.604257511
TCGA-24-1604-01A-01R-1566-13	OV	1	0.438744208	0.521515739
TCGA-24-1616-01A-01R-1566-13	OV	1	0.497294612	0.575921288
TCGA-24-1842-01A-01R-1567-13	OV	1	0.49008793	0.392037285
TCGA-24-1843-01A-01R-1567-13	OV	1	0.511974289	0.512399915
